Price,Today,At Expiry
70.0,3.89608216092,5.4365
71.6666666667,3.72118325696,5.4365
73.3333333333,3.53637467138,5.4365
75.0,3.34245627259,5.4365
76.6666666667,3.14030922896,5.4365
78.3333333333,2.93087760682,5.4365
80.0,2.71515022398,5.4365
81.6666666667,2.49414321299,5.4365
83.3333333333,2.26888365808,5.4365
85.0,2.04039458243,5.4365
86.6666666667,1.80968148019,5.4365
88.3333333333,1.57772051314,5.4365
90.0,1.34544842668,5.4365
91.6666666667,1.11375418445,3.76983333333
93.3333333333,0.883472275517,2.10316666667
95.0,0.655377612086,0.4365
96.6666666667,0.430181908849,-1.23016666667
98.3333333333,0.208531416287,-2.89683333333
100.0,-0.00899413168729,-4.5635
101.666666667,-0.221881501117,-4.5635
103.333333333,-0.429683018627,-4.5635
105.0,-0.632014852349,-4.5635
106.666666667,-0.828554649967,-4.5635
108.333333333,-1.01903866215,-4.5635
110.0,-1.20325846954,-4.5635
111.666666667,-1.38105742035,-4.5635
113.333333333,-1.55232687415,-4.5635
115.0,-1.71700233548,-4.5635
116.666666667,-1.87505955008,-4.5635
118.333333333,-2.02651062484,-4.5635
120.0,-2.17140022311,-4.5635
121.666666667,-2.30980187687,-4.5635
123.333333333,-2.4418144491,-4.5635
125.0,-2.56755877162,-4.5635
126.666666667,-2.68717447703,-4.5635
128.333333333,-2.80081703727,-4.5635
